date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:42:47	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2008%20Jul%202022%2005:12:22%20GMT	https://www.cspira.com.br/robots.txt		(from )
02:42:47	189144/189144	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2005:12:22%20GMT	https://www.cspira.com.br/	C:/Users/alexa/Desktop/create/sit2/www.cspira.com.br/index.html	(from )
02:42:47	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Fri,%2008%20Jul%202022%2005:12:22%20GMT	https://www.cspira.com.br/favicon.ico	C:/Users/alexa/Desktop/create/sit2/www.cspira.com.br/favicon.ico	(from https://www.cspira.com.br/)
02:42:48	103931/103931	---MCZ	200	added ('OK')	application/atom+xml	date:Fri,%2008%20Jul%202022%2005:12:22%20GMT	https://www.cspira.com.br/feeds/posts/default	C:/Users/alexa/Desktop/create/sit2/www.cspira.com.br/feeds/posts/default	(from https://www.cspira.com.br/)
02:42:50	83513/83513	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2008%20Jul%202022%2005:12:22%20GMT	https://www.cspira.com.br/feeds/posts/default?alt=rss	C:/Users/alexa/Desktop/create/sit2/www.cspira.com.br/feeds/posts/default9522	(from https://www.cspira.com.br/)
02:42:52	110731/110731	---M--	200	added ('OK')	image/jpeg	etag:%22vc91%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiUVnne_Z766sE-VeGn8A8LwLKDmIy1ieFVLC8iTm8--fAtJ3o_JXhCsddgW75tTd7uHRPVT5dFgZIEHnMpxFUYJd6ZLNN5_5Q8cVEKbisGlgtESdA4JfR4EmUa9Y5BCxJlIz4imodEEYN2d6Mty1ZIYcNXbSAtTnLJynpMG-HOYcTBUX2UiZRt6cgB/w680/cs%201.6.jpg	C:/Users/alexa/Desktop/create/sit2/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiUVnne_Z766sE-VeGn8A8LwLKDmIy1ieFVLC8iTm8/w680/cs%201.6.jpg	(from https://www.cspira.com.br/)
02:42:52	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/Users/alexa/Desktop/create/sit2/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://www.cspira.com.br/)
02:42:53	70117/70117	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-111e5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.2/css/all.css	C:/Users/alexa/Desktop/create/sit2/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.2/css/all.css	(from https://www.cspira.com.br/)
02:42:53	278/278	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:34:42%20GMT	https://cdn4.iconfinder.com/data/icons/mayssam/512/right-16.png	C:/Users/alexa/Desktop/create/sit2/cdn4.iconfinder.com/data/icons/mayssam/512/1355324.png	(from https://www.cspira.com.br/)
02:42:54	369304/369304	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20May%202022%2014:07:55%20GMT	https://i.ibb.co/x1N5xL3/pira.jpg	C:/Users/alexa/Desktop/create/sit2/i.ibb.co/x1N5xL3/pira.jpg	(from https://www.cspira.com.br/)
02:42:56	243988/243988	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jun%202022%2014:04:08%20GMT	https://i.ibb.co/LYqMGwK/Baixar-CS-1-6-2022-CSPIRA.jpg	C:/Users/alexa/Desktop/create/sit2/i.ibb.co/LYqMGwK/Baixar-CS-1-6-2022-CSPIRA.jpg	(from https://www.cspira.com.br/)
02:42:56	502/502	---M--	200	added ('OK')	image/png	etag:%22veb1%22	https://1.bp.blogspot.com/-eYtRPgDYrj8/U2UzqPx7GQI/AAAAAAAADq8/2ziclERqoQU/s600/from_blog_divider.png	C:/Users/alexa/Desktop/create/sit2/1.bp.blogspot.com/-eYtRPgDYrj8/U2UzqPx7GQI/AAAAAAAADq8/2ziclERqoQU/s600/from_blog_divider.png	(from https://www.cspira.com.br/)
02:42:56	832/832	---M--	404	error ('Not%20Found')	image/png	date:Sat,%2009%20Jul%202022%2005:42:56%20GMT	https://1.bp.blogspot.com/-8TcMxpoFBI8/XXfVXz0RfoI/AAAAAAAAAgg/AIlcAyY03T4N2Hy0U1C6yJzmXFVEMzfEgCLcBGAs/s1600/video_logo.jpg	C:/Users/alexa/Desktop/create/sit2/1.bp.blogspot.com/-8TcMxpoFBI8/XXfVXz0RfoI/AAAAAAAAAgg/AIlcAyY03T4N2Hy0U1C6yJzmXFVEMzfEgCLcBGAs/s1600/video_logo.a.delayed	(from https://www.cspira.com.br/)
